SampleName,SMILES,abs,DFT,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area
76e,S=C(N/N=C/C1=CC=C(O1)[N+]([O-])=O)N2CCOCC2,473,424.84,9.2498,2.9184,2.38,63.64,11.89,29.3575,22.093747277227557,-0.233157,-0.130877,0.10228,29,7.967,5.97,15.874,0.5241365647493892,-43.8271,63.02859,0.24959763,0.02954589,0.83390416,26.52,73.48
77e,O=C(C(O)=C1C2=CC=CS2)C3=C(O1)C=C(Cl)C(Cl)=C3,437,374.93,6.2903,3.3069,2.38,9.79,7.41,8.1525,1.2279327139546365,-0.240336,-0.10516,0.135177,24,7.348,4.203,14.492,0.5190172623737555,-54.32138,41.97994,0.21568112,0.02107619,0.59388851,49.81,50.19
78e,OC1=C(/N=N/C2=CC=CC=C2)C=CC(O)=C1,428,395.36,11.2344,3.136,2.38,7.87,12.41,16.365000000000002,8.053376621020526,-0.224872,-0.097805,0.127068,26,7.238,3.4,14.476,0.5687568756875688,-32.34612,60.79607,0.19763928,0.01835675,0.50004042,53.64,46.36
7e,CN(C)C1=CC2=C(C=C3C=CC(N(C)C)=CC3=N2)C=C1,490,412.97,7.5831,3.0023,2.38,8.83,7.2,7.565,0.734251319372325,-0.184926,-0.064553,0.120373,34,8.105,4.179,16.21,0.563394967329348,-48.3128,23.51592,0.14068157,0.02137837,0.56907597,41.05,58.95
80e,C1(/N=N/C2=CC(NC3=CC=CC=C3)=CC=C2)=CC=CC=C1,410,345.54,11.5083,3.5881,2.38,10.93,13.14,15.5575,8.812319147080409,-0.201853,-0.094741,0.107111,29,8.053,5.521,15.892,0.49460023030718,-26.32195,45.65318,0.22261978,0.01641732,0.45096389,48.56,51.44
82e,O=C(OCC)C1=NN(C2=CC=CC=C2)C(/C1=N\NC3=CC=CC=C3)=O,420,405.15,10.6017,3.0602,2.38,6.16,11,7.58,2.0329781110479277,-0.231535,-0.115288,0.116247,33,8.257,4.18,16.499,0.5075209941862253,-48.00398,31.46732,0.18496835,0.01835865,0.50214084,48.79,51.21
83e,O=C(OCC)C1=NN(C2=CC=C(C)C=C2C)C(/C1=N\NC3=CC=C(C)C=C3C)=O,456,436.5,6.1535,2.8404,2.38,7.22,10.95,8.51,1.4628909733811333,-0.223202,-0.106847,0.116356,52,9.267,7.528,18.498,0.48121748178980234,-55.60695,22.23818,0.10562863,0.01752136,0.47438232,58.22,41.78
8e,ClC1=CC(NC2=C3C=C([N+]([O-])=O)C=C2[N+]([O-])=O)=C(O3)C=C1,445,536.17,2.2841,2.3124,2.38,7.37,14.82,11.8825,2.9892756229561703,-0.227629,-0.125378,0.102251,20,7.283,3.5,14.526,0.5321268957432779,-35.5132,55.3135,0.24881908,0.02292766,0.70217169,29.17,70.83
N4e,CCCCCCC#CC(C=C1)=C2C3=C1C4=CC=CC5=C4C(C3=CC=C2)=CC=C5C#CCCCCCC,475,517.65,14.4167,2.3951,1.9,4.54,4.43,4.9025,0.6379802112918551,-0.189696,-0.09181,0.097887,62,15.098,6.573,30.195,0.6527801798685576,-19.19346,21.69096,0.22634395,0.01299839,0.35574621,65.3,34.7
N1,CCCCCCCCC(CCCCCCCCCC)CC1=CC(C2=C3C4=CC(CC(CCCCCCCCCC)CCCCCCCC)=CC3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C2)=C(C4=CC(CC(CCCCCCCCCC)CCCCCCCC)=C5)C5=C1,448,449.02,5.2668,2.7612,1.9,5.49,5.03,5.095000000000001,0.29576172842340515,-0.17468,-0.066193,0.108487,176,20.218,14.096,38.619,0.4404790419161676,-16.58134,14.42446,0.13011483,0.00483434,0.14686038,94.74,5.26
C4e,CCCCC(CC)CN(CC(CC)CCCC)C(C=C1N(C(C(CC)CCCC)=O)[H])=C(OC)C=C1/N=N/C2=C3C(C=CC([N+]([O-])=O)=C3)=NS2,653.5,628.06,17.1945,1.9741,1.9,6.1,5.74,7.824999999999999,1.9796527473271672,-0.216363,-0.135288,0.081075,103,10.667,10.405,21.28,0.480567286194982,-40.84166,24.62787,0.16494267,0.01427662,0.41894564,61.15,38.85
C8,O=C1C2=C(C(N([H])CC(CCCCCCCC)CCCCCCCCCC)=CC=C2N(CC(CCCCCCCC)CCCCCCCCCC)[H])C(C3=CC=CC=C31)=O,596,579.08,4.7697,2.141,1.9,8.1,6.52,9.459999999999999,3.9097058712900643,-0.187261,-0.100977,0.086285,147,16.878,13.505,33.044,0.4647211869770059,-39.79019,24.99732,0.1482004,0.00833351,0.23597042,85.54,14.46
